,Pclass,Sex,Age,Embarked,Fare,Survived
132,3,2,47,3,14.5,0
133,2,2,29,3,26.0,1
134,2,1,25,3,13.0,0
135,2,1,23,1,15.0458,0
136,1,2,19,3,26.2833,1
137,1,1,37,3,53.1,0
138,3,1,16,3,9.2167,0
139,1,1,24,1,79.2,0
140,3,2,27,1,15.2458,0
141,3,2,22,3,7.75,1
142,3,2,24,3,15.85,1
143,3,1,19,2,6.75,0
144,2,1,18,3,11.5,0
145,2,1,19,3,36.75,0
146,3,1,27,3,7.7958,1
147,3,2,9,3,34.375,0
148,2,1,36,3,26.0,0
149,2,1,42,3,13.0,0
150,2,1,51,3,12.525,0
151,1,2,22,3,66.6,1
152,3,1,56,3,8.05,0
153,3,1,40,3,14.5,0
154,3,1,29,3,7.3125,0
155,1,1,51,1,61.3792,0
156,3,2,16,2,7.7333,1
157,3,1,30,3,8.05,0
158,3,1,29,3,8.6625,0
159,3,1,29,3,69.55,0
160,3,1,44,3,16.1,0
161,2,2,40,3,15.75,1
162,3,1,26,3,7.775,0
163,3,1,17,3,8.6625,0
164,3,1,1,3,39.6875,0
165,3,1,9,3,20.525,1
166,1,2,27,3,55.0,1
167,3,2,45,3,27.9,0
168,1,1,29,3,25.925,0
169,3,1,28,3,56.4958,0
170,1,1,61,3,33.5,0
171,3,1,4,2,29.125,0
172,3,2,1,3,11.1333,1
173,3,1,21,3,7.925,0
174,1,1,56,1,30.6958,0
175,3,1,18,3,7.8542,0
176,3,1,29,3,25.4667,0
177,1,2,50,1,28.7125,0
178,2,1,30,3,13.0,0
179,3,1,36,3,0.0,0
180,3,2,27,3,69.55,0
181,2,1,29,1,15.05,0
182,3,1,9,3,31.3875,0
183,2,1,1,3,39.0,1
184,3,2,4,3,22.025,1
185,1,1,29,3,50.0,0
186,3,2,27,2,15.5,1
187,1,1,45,3,26.55,1
188,3,1,40,2,15.5,0
189,3,1,36,3,7.8958,0
190,2,2,32,3,13.0,1
191,2,1,19,3,13.0,0
192,3,2,19,3,7.8542,1
193,2,1,3,3,26.0,1
194,1,2,44,1,27.7208,1
195,1,2,58,1,146.5208,1
196,3,1,29,2,7.75,0
197,3,1,42,3,8.4042,0
198,3,2,27,2,7.75,1
199,2,2,24,3,13.0,0
200,3,1,28,3,9.5,0
201,3,1,29,3,69.55,0
202,3,1,34,3,6.4958,0
203,3,1,46,1,7.225,0
204,3,1,18,3,8.05,1
205,3,2,2,3,10.4625,0
206,3,1,32,3,15.85,0
207,3,1,26,1,18.7875,1
208,3,2,16,2,7.75,1
209,1,1,40,1,31.0,1
210,3,1,24,3,7.05,0
211,2,2,35,3,21.0,1
212,3,1,22,3,7.25,0
213,2,1,30,3,13.0,0
214,3,1,29,2,7.75,0
215,1,2,31,1,113.275,1
216,3,2,27,3,7.925,1
217,2,1,42,3,27.0,0
218,1,2,32,1,76.2917,1
219,2,1,30,3,10.5,0
220,3,1,16,3,8.05,1
221,2,1,27,3,13.0,0
222,3,1,51,3,8.05,0
223,3,1,29,3,7.8958,0
224,1,1,38,3,90.0,1
225,3,1,22,3,9.35,0
226,2,1,19,3,10.5,1
227,3,1,20,3,7.25,0
228,2,1,18,3,13.0,0
229,3,2,27,3,25.4667,0
230,1,2,35,3,83.475,1
231,3,1,29,3,7.775,0
232,2,1,59,3,13.5,0
233,3,2,5,3,31.3875,1
234,2,1,24,3,10.5,0
235,3,2,27,3,7.55,0
236,2,1,44,3,26.0,0
237,2,2,8,3,26.25,1
238,2,1,19,3,10.5,0
239,2,1,33,3,12.275,0
240,3,2,27,1,14.4542,0
241,3,2,27,2,15.5,1
242,2,1,29,3,10.5,0
243,3,1,22,3,7.125,0
244,3,1,30,1,7.225,0
245,1,1,44,2,90.0,0
246,3,2,25,3,7.775,0
247,2,2,24,3,14.5,1
248,1,1,37,3,52.5542,1
249,2,1,54,3,26.0,0
250,3,1,29,3,7.25,0
251,3,2,29,3,10.4625,0
252,1,1,62,3,26.55,0
253,3,1,30,3,16.1,0
254,3,2,41,3,20.2125,0
255,3,2,29,1,15.2458,1
256,1,2,27,1,79.2,1
257,1,2,30,3,86.5,1
258,1,2,35,1,512.3292,1
259,2,2,50,3,26.0,1
260,3,1,29,2,7.75,0
261,3,1,3,3,31.3875,1
262,1,1,52,3,79.65,0
263,1,1,40,3,0.0,0
264,3,2,27,2,7.75,0
265,2,1,36,3,10.5,0
266,3,1,16,3,39.6875,0
267,3,1,25,3,7.775,1
268,1,2,58,3,153.4625,1
269,1,2,35,3,135.6333,1
270,1,1,29,3,31.0,0
271,3,1,25,3,0.0,1
272,2,2,41,3,19.5,1
273,1,1,37,1,29.7,0
274,3,2,27,2,7.75,1
275,1,2,63,3,77.9583,1
276,3,2,45,3,7.75,0
277,2,1,29,3,0.0,0
278,3,1,7,2,29.125,0
279,3,2,35,3,20.25,1
280,3,1,65,2,7.75,0
281,3,1,28,3,7.8542,0
282,3,1,16,3,9.5,0
283,3,1,19,3,8.05,1
284,1,1,29,3,26.0,0
285,3,1,33,1,8.6625,0
286,3,1,30,3,9.5,1
287,3,1,22,3,7.8958,0
288,2,1,42,3,13.0,1
289,3,2,22,2,7.75,1
290,1,2,26,3,78.85,1
291,1,2,19,1,91.0792,1
292,2,1,36,1,12.875,0
293,3,2,24,3,8.85,0
294,3,1,24,3,7.8958,0
295,1,1,29,1,27.7208,0
296,3,1,24,1,7.2292,0
297,1,2,2,3,151.55,0
298,1,1,29,3,30.5,1
299,1,2,50,1,247.5208,1
300,3,2,27,2,7.75,1
301,3,1,29,2,23.25,1
302,3,1,19,3,0.0,0
303,2,2,27,2,12.35,1
304,3,1,29,3,8.05,0
305,1,1,1,3,151.55,1
306,1,2,27,1,110.8833,1
307,1,2,17,1,108.9,1
308,2,1,30,1,24.0,0
309,1,2,30,1,56.9292,1
310,1,2,24,1,83.1583,1
311,1,2,18,1,262.375,1
312,2,2,26,3,26.0,0
313,3,1,28,3,7.8958,0
314,2,1,43,3,26.25,0
315,3,2,26,3,7.8542,1
316,2,2,24,3,26.0,1
317,2,1,54,3,14.0,0
318,1,2,31,3,164.8667,1
319,1,2,40,1,134.5,1
320,3,1,22,3,7.25,0
321,3,1,27,3,7.8958,0
322,2,2,30,2,12.35,1
323,2,2,22,3,29.0,1
324,3,1,29,3,69.55,0
325,1,2,36,1,135.6333,1
326,3,1,61,3,6.2375,0
327,2,2,36,3,13.0,1
328,3,2,31,3,20.525,1
329,1,2,16,1,57.9792,1
330,3,2,27,2,23.25,1
331,1,1,46,3,28.5,0
332,1,1,38,3,153.4625,0
333,3,1,16,3,18.0,0
334,1,2,27,3,133.65,1
335,3,1,29,3,7.8958,0
336,1,1,29,3,66.6,0
337,1,2,41,1,134.5,1
338,3,1,45,3,8.05,1
339,1,1,45,3,35.5,0
340,2,1,2,3,26.0,1
341,1,2,24,3,263.0,1
342,2,1,28,3,13.0,0
343,2,1,25,3,13.0,0
344,2,1,36,3,13.0,0
345,2,2,24,3,13.0,1
346,2,2,40,3,13.0,1
347,3,2,27,3,16.1,1
348,3,1,3,3,15.9,1
349,3,1,42,3,8.6625,0
350,3,1,23,3,9.225,0
351,1,1,29,3,35.0,0
352,3,1,15,1,7.2292,0
353,3,1,25,3,17.8,0
354,3,1,29,1,7.225,0
355,3,1,28,3,9.5,0
356,1,2,22,3,55.0,1
357,2,2,38,3,13.0,0
358,3,2,27,2,7.8792,1
359,3,2,27,2,7.8792,1
360,3,1,40,3,27.9,0
361,2,1,29,1,27.7208,0
362,3,2,45,1,14.4542,0
363,3,1,35,3,7.05,0
364,3,1,29,2,15.5,0
365,3,1,30,3,7.25,0
366,1,2,60,1,75.25,1
367,3,2,27,1,7.2292,1
368,3,2,27,2,7.75,1
369,1,2,24,1,69.3,1
370,1,1,25,1,55.4417,1
371,3,1,18,3,6.4958,0
372,3,1,19,3,8.05,0
373,1,1,22,1,135.6333,0
374,3,2,3,3,21.075,0
375,1,2,27,1,82.1708,1
376,3,2,22,3,7.25,1
377,1,1,27,1,211.5,0
378,3,1,20,1,4.0125,0
379,3,1,19,3,7.775,0
380,1,2,42,1,227.525,1
381,3,2,1,1,15.7417,1
382,3,1,32,3,7.925,0
383,1,2,35,3,52.0,1
384,3,1,29,3,7.8958,0
385,2,1,18,3,73.5,0
386,3,1,1,3,46.9,0
387,2,2,36,3,13.0,1
388,3,1,29,2,7.7292,0
389,2,2,17,1,12.0,1
390,1,1,36,3,120.0,1
391,3,1,21,3,7.7958,1
392,3,1,28,3,7.925,0
393,1,2,23,1,113.275,1
394,3,2,24,3,16.7,1
395,3,1,22,3,7.7958,0
396,3,2,31,3,7.8542,0
397,2,1,46,3,26.0,0
398,2,1,23,3,10.5,0
399,2,2,28,3,12.65,1
400,3,1,39,3,7.925,1
401,3,1,26,3,8.05,0
402,3,2,21,3,9.825,0
403,3,1,28,3,15.85,0
404,3,2,20,3,8.6625,0
405,2,1,34,3,21.0,0
406,3,1,51,3,7.75,0
407,2,1,3,3,18.75,1
408,3,1,21,3,7.775,0
409,3,2,27,3,25.4667,0
410,3,1,29,3,7.8958,0
411,3,1,29,2,6.8583,0
412,1,2,33,2,90.0,1
413,2,1,29,3,0.0,0
414,3,1,44,3,7.925,1
415,3,2,27,3,8.05,0
416,2,2,34,3,32.5,1
417,2,2,18,3,13.0,1
418,2,1,30,3,13.0,0
419,3,2,10,3,24.15,0
420,3,1,29,1,7.8958,0
421,3,1,21,2,7.7333,0
422,3,1,29,3,7.875,0
423,3,2,28,3,14.4,0
424,3,1,18,3,20.2125,0
425,3,1,29,3,7.25,0
426,2,2,28,3,26.0,1
427,2,2,19,3,26.0,1
428,3,1,29,2,7.75,0
429,3,1,32,3,8.05,1
430,1,1,28,3,26.55,1
431,3,2,27,3,16.1,1
432,2,2,42,3,26.0,1
433,3,1,17,3,7.125,0
434,1,1,50,3,55.9,0
435,1,2,14,3,120.0,1
436,3,2,21,3,34.375,0
437,2,2,24,3,18.75,1
438,1,1,64,3,263.0,0
439,2,1,31,3,10.5,0
440,2,2,45,3,26.25,1
441,3,1,20,3,9.5,0
442,3,1,25,3,7.775,0
443,2,2,28,3,13.0,1
444,3,1,29,3,8.1125,1
445,1,1,4,3,81.8583,1
446,2,2,13,3,19.5,1
447,1,1,34,3,26.55,1
448,3,2,5,1,19.2583,1
449,1,1,52,3,30.5,1
450,2,1,36,3,27.75,0
451,3,1,29,3,19.9667,0
452,1,1,30,1,27.75,0
453,1,1,49,1,89.1042,1
454,3,1,29,3,8.05,0
455,3,1,29,1,7.8958,1
456,1,1,65,3,26.55,0
457,1,2,27,3,51.8625,1
458,2,2,50,3,10.5,1
459,3,1,29,2,7.75,0
460,1,1,48,3,26.55,1
461,3,1,34,3,8.05,0
462,1,1,47,3,38.5,0
463,2,1,48,3,13.0,0
464,3,1,29,3,8.05,0
465,3,1,38,3,7.05,0
466,2,1,29,3,0.0,0
467,1,1,56,3,26.55,0
468,3,1,29,2,7.725,0
469,3,2,1,1,19.2583,1
470,3,1,29,3,7.25,0
471,3,1,38,3,8.6625,0
472,2,2,33,3,27.75,1
473,2,2,23,1,13.7917,1
474,3,2,22,3,9.8375,0
475,1,1,29,3,52.0,0
476,2,1,34,3,21.0,0
477,3,1,29,3,7.0458,0
478,3,1,22,3,7.5208,0
479,3,2,2,3,12.2875,1
480,3,1,9,3,46.9,0
481,2,1,29,3,0.0,0
482,3,1,50,3,8.05,0
483,3,2,63,3,9.5875,1
484,1,1,25,1,91.0792,1
485,3,2,27,3,25.4667,0
486,1,2,35,3,90.0,1
487,1,1,58,1,29.7,0
488,3,1,30,3,8.05,0
489,3,1,9,3,15.9,1
490,3,1,29,3,19.9667,0
491,3,1,21,3,7.25,0
492,1,1,55,3,30.5,0
493,1,1,71,1,49.5042,0
494,3,1,21,3,8.05,0
495,3,1,29,1,14.4583,0
496,1,2,54,1,78.2667,1
497,3,1,29,3,15.1,0
498,1,2,25,3,151.55,0
499,3,1,24,3,7.7958,0
500,3,1,17,3,8.6625,0
501,3,2,21,2,7.75,0
502,3,2,27,2,7.6292,0
503,3,2,37,3,9.5875,0
504,1,2,16,3,86.5,1
505,1,1,18,1,108.9,0
506,2,2,33,3,26.0,1
507,1,1,29,3,26.55,1
508,3,1,28,3,22.525,0
509,3,1,26,3,56.4958,1
510,3,1,29,2,7.75,1
511,3,1,29,3,8.05,0
512,1,1,36,3,26.2875,1
513,1,2,54,1,59.4,1
514,3,1,24,3,7.4958,0
515,1,1,47,3,34.0208,0
516,2,2,34,3,10.5,1
517,3,1,29,2,24.15,0
518,2,2,36,3,26.0,1
519,3,1,32,3,7.8958,0
520,1,2,30,3,93.5,1
521,3,1,22,3,7.8958,0
522,3,1,29,1,7.225,0
523,1,2,44,1,57.9792,1
524,3,1,29,1,7.2292,0
525,3,1,40,2,7.75,0
526,2,2,50,3,10.5,1
527,1,1,29,3,221.7792,0
528,3,1,39,3,7.925,0
529,2,1,23,3,11.5,0
530,2,2,2,3,26.0,1
531,3,1,29,1,7.2292,0
532,3,1,17,1,7.2292,0
533,3,2,27,1,22.3583,1
534,3,2,30,3,8.6625,0
535,2,2,7,3,26.25,1
536,1,1,45,3,26.55,0
537,1,2,30,1,106.425,1
538,3,1,29,3,14.5,0
539,1,2,22,1,49.5,1
540,1,2,36,3,71.0,1
541,3,2,9,3,31.275,0
542,3,2,11,3,31.275,0
543,2,1,32,3,26.0,1
544,1,1,50,1,106.425,0
545,1,1,64,3,26.0,0
546,2,2,19,3,26.0,1
547,2,1,29,1,13.8625,1
548,3,1,33,3,20.525,0
549,2,1,8,3,36.75,1
550,1,1,17,1,110.8833,1
551,2,1,27,3,26.0,0
552,3,1,29,2,7.8292,0
553,3,1,22,1,7.225,1
554,3,2,22,3,7.775,1
555,1,1,62,3,26.55,0
556,1,2,48,1,39.6,1
557,1,1,29,1,227.525,0
558,1,2,39,3,79.65,1
559,3,2,36,3,17.4,1
560,3,1,29,2,7.75,0
561,3,1,40,3,7.8958,0
562,2,1,28,3,13.5,0
563,3,1,29,3,8.05,0
564,3,2,27,3,8.05,0
565,3,1,24,3,24.15,0
566,3,1,19,3,7.8958,0
567,3,2,29,3,21.075,0
568,3,1,29,1,7.2292,0
569,3,1,32,3,7.8542,1
570,2,1,62,3,10.5,1
571,1,2,53,3,51.4792,1
572,1,1,36,3,26.3875,1
573,3,2,27,2,7.75,1
574,3,1,16,3,8.05,0
575,3,1,19,3,14.5,0
576,2,2,34,3,13.0,1
577,1,2,39,3,55.9,1
578,3,2,27,1,14.4583,0
579,3,1,32,3,7.925,1
580,2,2,25,3,30.0,1
581,1,2,39,1,110.8833,1
582,2,1,54,3,26.0,0
583,1,1,36,1,40.125,0
584,3,1,29,1,8.7125,0
585,1,2,18,3,79.65,1
586,2,1,47,3,15.0,0
587,1,1,60,1,79.2,1
588,3,1,22,3,8.05,0
589,3,1,29,3,8.05,0
590,3,1,35,3,7.125,0
591,1,2,52,1,78.2667,1
592,3,1,47,3,7.25,0
593,3,2,27,2,7.75,0
594,2,1,37,3,26.0,0
595,3,1,36,3,24.15,0
596,2,2,27,3,33.0,1
597,3,1,49,3,0.0,0
598,3,1,29,1,7.225,0
599,1,1,49,1,56.9292,1
600,2,2,24,3,27.0,1
601,3,1,29,3,7.8958,0
602,1,1,29,3,42.4,0
603,3,1,44,3,8.05,0
604,1,1,35,1,26.55,1
605,3,1,36,3,15.55,0
606,3,1,30,3,7.8958,0
607,1,1,27,3,30.5,1
608,2,2,22,1,41.5792,1
609,1,2,40,3,153.4625,1
610,3,2,39,3,31.275,0
611,3,1,29,3,7.05,0
612,3,2,27,2,15.5,1
613,3,1,29,2,7.75,0
614,3,1,35,3,8.05,0
615,2,2,24,3,65.0,1
616,3,1,34,3,14.4,0
617,3,2,26,3,16.1,0
618,2,2,4,3,39.0,1
619,2,1,26,3,10.5,0
620,3,1,27,1,14.4542,0
621,1,1,42,3,52.5542,1
622,3,1,20,1,15.7417,1
623,3,1,21,3,7.8542,0
624,3,1,21,3,16.1,0
625,1,1,61,3,32.3208,0
626,2,1,57,2,12.35,0
627,1,2,21,3,77.9583,1
628,3,1,26,3,7.8958,0
629,3,1,29,2,7.7333,0
630,1,1,80,3,30.0,1
631,3,1,51,3,7.0542,0
632,1,1,32,1,30.5,1
633,1,1,29,3,0.0,0
634,3,2,9,3,27.9,0
635,2,2,28,3,13.0,1
636,3,1,32,3,7.925,0
637,2,1,31,3,26.25,0
638,3,2,41,3,39.6875,0
639,3,1,29,3,16.1,0
640,3,1,20,3,7.8542,0
641,1,2,24,1,69.3,1
642,3,2,2,3,27.9,0
643,3,1,29,3,56.4958,1
644,3,2,1,1,19.2583,1
645,1,1,48,1,76.7292,1
646,3,1,19,3,7.8958,0
647,1,1,56,1,35.5,1
648,3,1,29,3,7.55,0
649,3,2,23,3,7.55,1
650,3,1,29,3,7.8958,0
651,2,2,18,3,23.0,1
652,3,1,21,3,8.4333,0
653,3,2,27,2,7.8292,1
654,3,2,18,2,6.75,0
655,2,1,24,3,73.5,0
656,3,1,29,3,7.8958,0
657,3,2,32,2,15.5,0
658,2,1,23,3,13.0,0
659,1,1,58,1,113.275,0
660,1,1,50,3,133.65,1
661,3,1,40,1,7.225,0
662,1,1,47,3,25.5875,0
663,3,1,36,3,7.4958,0
664,3,1,20,3,7.925,1
665,2,1,32,3,73.5,0
666,2,1,25,3,13.0,0
667,3,1,29,3,7.775,0
668,3,1,43,3,8.05,0
669,1,2,27,3,52.0,1
670,2,2,40,3,39.0,1
671,1,1,31,3,52.0,0
672,2,1,70,3,10.5,0
673,2,1,31,3,13.0,1
674,2,1,29,3,0.0,0
675,3,1,18,3,7.775,0
676,3,1,24,3,8.05,0
677,3,2,18,3,9.8417,1
678,3,2,43,3,46.9,0
679,1,1,36,1,512.3292,1
680,3,2,27,2,8.1375,0
681,1,1,27,1,76.7292,1
682,3,1,20,3,9.225,0
683,3,1,14,3,46.9,0
684,2,1,60,3,39.0,0
685,2,1,25,1,41.5792,0
686,3,1,14,3,39.6875,0
687,3,1,19,3,10.1708,0
688,3,1,18,3,7.7958,0
689,1,2,15,3,211.3375,1
690,1,1,31,3,57.0,1
691,3,2,4,1,13.4167,1
692,3,1,29,3,56.4958,1
693,3,1,25,1,7.225,0
694,1,1,60,3,26.55,0
695,2,1,52,3,13.5,0
696,3,1,44,3,8.05,0
697,3,2,27,2,7.7333,1
698,1,1,49,1,110.8833,0
699,3,1,42,3,7.65,0
700,1,2,18,1,227.525,1
701,1,1,35,3,26.2875,1
702,3,2,18,1,14.4542,0
703,3,1,25,2,7.7417,0
704,3,1,26,3,7.8542,0
705,2,1,39,3,26.0,0
706,2,2,45,3,13.5,1
707,1,1,42,3,26.2875,1
708,1,2,22,3,151.55,1
709,3,1,29,1,15.2458,1
710,1,2,24,1,49.5042,1
711,1,1,29,3,26.55,0
712,1,1,48,3,52.0,1
713,3,1,29,3,9.4833,0
714,2,1,52,3,13.0,0
715,3,1,19,3,7.65,0
716,1,2,38,1,227.525,1
717,2,2,27,3,10.5,1
718,3,1,29,2,15.5,0
719,3,1,33,3,7.775,0
720,2,2,6,3,33.0,1
721,3,1,17,3,7.0542,0
722,2,1,34,3,13.0,0
723,2,1,50,3,13.0,0
724,1,1,27,3,53.1,1
725,3,1,20,3,8.6625,0
726,2,2,30,3,21.0,1
727,3,2,27,2,7.7375,1
728,2,1,25,3,26.0,0
729,3,2,25,3,7.925,0
730,1,2,29,3,211.3375,1
731,3,1,11,1,18.7875,0
732,2,1,29,3,0.0,0
733,2,1,23,3,13.0,0
734,2,1,23,3,13.0,0
735,3,1,28,3,16.1,0
736,3,2,48,3,34.375,0
737,1,1,35,1,512.3292,1
738,3,1,29,3,7.8958,0
739,3,1,29,3,7.8958,0
740,1,1,29,3,30.0,1
741,1,1,36,3,78.85,0
742,1,2,21,1,262.375,1
743,3,1,24,3,16.1,0
744,3,1,31,3,7.925,1
745,1,1,70,3,71.0,0
746,3,1,16,3,20.25,0
747,2,2,30,3,13.0,1
748,1,1,19,3,53.1,0
749,3,1,31,2,7.75,0
750,2,2,4,3,23.0,1
751,3,1,6,3,12.475,1
752,3,1,33,3,9.5,0
753,3,1,23,3,7.8958,0
754,2,2,48,3,65.0,1
755,2,1,1,3,14.5,1
756,3,1,28,3,7.7958,0
757,2,1,18,3,11.5,0
758,3,1,34,3,8.05,0
759,1,2,33,3,86.5,1
760,3,1,29,3,14.5,0
761,3,1,41,3,7.125,0
762,3,1,20,1,7.2292,1
763,1,2,36,3,120.0,1
764,3,1,16,3,7.775,0
765,1,2,51,3,77.9583,1
766,1,1,29,1,39.6,0
767,3,2,30,2,7.75,0
768,3,1,29,2,24.15,0
769,3,1,32,3,8.3625,0
770,3,1,24,3,9.5,0
771,3,1,48,3,7.8542,0
772,2,2,57,3,10.5,0
773,3,1,29,1,7.225,0
774,2,2,54,3,23.0,1
775,3,1,18,3,7.75,0
776,3,1,29,2,7.75,0
777,3,2,5,3,12.475,1
778,3,1,29,2,7.7375,0
779,1,2,43,3,211.3375,1
780,3,2,13,1,7.2292,1
781,1,2,17,3,57.0,1
782,1,1,29,3,30.0,0
783,3,1,29,3,23.45,0
784,3,1,25,3,7.05,0
785,3,1,25,3,7.25,0
786,3,2,18,3,7.4958,1
787,3,1,8,2,29.125,0
788,3,1,1,3,20.575,1
789,1,1,46,1,79.2,0
790,3,1,29,2,7.75,0
791,2,1,16,3,26.0,0
792,3,2,27,3,69.55,0
793,1,1,29,1,30.6958,0
794,3,1,25,3,7.8958,0
795,2,1,39,3,13.0,0
796,1,2,49,3,25.9292,1
797,3,2,31,3,8.6833,1
798,3,1,30,1,7.2292,0
799,3,2,30,3,24.15,0
800,2,1,34,3,13.0,0
801,2,2,31,3,26.25,1
802,1,1,11,3,120.0,1
803,3,1,0,1,8.5167,1
804,3,1,27,3,6.975,1
805,3,1,31,3,7.775,0
806,1,1,39,3,0.0,0
807,3,2,18,3,7.775,0
808,2,1,39,3,13.0,0
809,1,2,33,3,53.1,1
810,3,1,26,3,7.8875,0
811,3,1,39,3,24.15,0
812,2,1,35,3,10.5,0
813,3,2,6,3,31.275,0
814,3,1,30,3,8.05,0
815,1,1,29,3,0.0,0
816,3,2,23,3,7.925,0
817,2,1,31,1,37.0042,0
818,3,1,43,3,6.45,0
819,3,1,10,3,27.9,0
820,1,2,52,3,93.5,1
821,3,1,27,3,8.6625,1
822,1,1,38,3,0.0,0
823,3,2,27,3,12.475,1
824,3,1,2,3,39.6875,0
825,3,1,29,2,6.95,0
826,3,1,29,3,56.4958,0
827,2,1,1,1,37.0042,1
828,3,1,29,2,7.75,1
830,3,2,15,1,14.4542,1
831,2,1,1,3,18.75,1
832,3,1,29,1,7.2292,0
833,3,1,23,3,7.8542,0
834,3,1,18,3,8.3,0
835,1,2,39,1,83.1583,1
836,3,1,21,3,8.6625,0
837,3,1,29,3,8.05,0
838,3,1,32,3,56.4958,1
839,1,1,29,1,29.7,1
840,3,1,20,3,7.925,0
841,2,1,16,3,10.5,0
842,1,2,30,1,31.0,1
843,3,1,34,1,6.4375,0
844,3,1,17,3,8.6625,0
845,3,1,42,3,7.55,0
846,3,1,29,3,69.55,0
847,3,1,35,1,7.8958,0
848,2,1,28,3,33.0,0
849,1,2,27,1,89.1042,1
850,3,1,4,3,31.275,0
851,3,1,74,3,7.775,0
852,3,2,9,1,15.2458,0
853,1,2,16,3,39.4,1
854,2,2,44,3,26.0,0
855,3,2,18,3,9.35,1
